file,player,build,Pylon 1,Pylon 2,Pylon 3,Pylon 4,Pylon 5,Gateway 1,Gateway 2,Gateway 3,Gateway 4,Gateway 5,Assimilator 1,Assimilator 2,Stargate 1,Stargate 2,Stargate 3,Stargate 4,Stargate 5,Forge 1,Citadel of Adun,Robotics Facility,Templar Archives,Robotics Support Bay,Photon Cannon 1,Photon Cannon 2,Photon Cannon 3,Photon Cannon 4,Photon Cannon 5,Observatory,Fleet Beacon,Arbiter Tribunal,Nexus 1,Nexus 2
-8hrEbfZnuvzzijadB5dCPslUDkR_Xg1tW41Ne--azc.rep,EastHampton,,1184,3025,4134,5968,-1,1809,2387,4935,-1,-1,3578,-1,-1,-1,-1,-1,-1,6549,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-8hrEbfZnuvzzijadB5dCPslUDkR_Xg1tW41Ne--azc.rep,Death__yell,,953,963,2678,4246,5289,1742,2317,-1,-1,-1,3812,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-9fLlv91gu_tCAA4Mlk7twltqR-1eKs0pm0_-L9yK98.rep,Hyyr,,1152,3076,4621,5512,-1,1911,2709,7119,-1,-1,3847,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-9fLlv91gu_tCAA4Mlk7twltqR-1eKs0pm0_-L9yK98.rep,[iccup]DaDDy,,1247,3070,4549,5961,-1,1844,2417,5665,-1,-1,3847,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-rQyDjMJFow4HKS0_pAqAImFwAU-Y8UTrVFv_6xqQac.rep,testie123,,1145,3181,6332,-1,-1,1914,2700,2714,-1,-1,4018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6449,-1
0ZVN1NI6gPEl4JqvrtYqvfln_rM9Pprouet3bH9_zpo.rep,Spicy,,1161,2991,4780,5987,-1,1814,2446,-1,-1,-1,4608,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1sG0xU9wDb5WfSKR8T2YTRBgcFsAf_uLhSJFlRdMy_k.rep,Gandalfin,,1140,2740,2822,6252,6601,2142,-1,-1,-1,-1,1770,-1,4758,-1,-1,-1,-1,4563,-1,-1,-1,-1,5293,-1,-1,-1,-1,-1,-1,-1,-1,-1
2JnC6qM__fd5_FfHiQXfPISv38k_87rG0IARKzacMGc.rep,Death_Yell,,1153,3455,5994,-1,-1,1764,6946,-1,-1,-1,2276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2wjS6LJHJD5prrdsBkNLVeK42HZGidyBaOmqJEBtBNM.rep,EastHampton,,1145,2831,3486,3979,4692,1676,2487,-1,-1,-1,6776,-1,-1,-1,-1,-1,-1,5042,-1,-1,-1,-1,6015,6083,-1,-1,-1,-1,-1,-1,-1,-1
2wjS6LJHJD5prrdsBkNLVeK42HZGidyBaOmqJEBtBNM.rep,St0ry,,1320,3107,4236,5964,-1,1890,3670,3850,-1,-1,2285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
