file,player,build,Supply Depot 1,Supply Depot 2,Supply Depot 3,Supply Depot 4,Supply Depot 5,Barracks 1,Barracks 2,Barracks 3,Barracks 4,Barracks 5,Refinery 1,Refinery 2,Factory 1,Factory 2,Factory 3,Factory 4,Factory 5,Armory,Academy,Engineering Bay,Command Center 1,Command Center 2
-rQyDjMJFow4HKS0_pAqAImFwAU-Y8UTrVFv_6xqQac.rep,probewithadream,,1366,3365,4139,6578,6590,2066,-1,-1,-1,-1,2477,-1,3984,-1,-1,-1,-1,-1,-1,-1,-1,-1
0ZVN1NI6gPEl4JqvrtYqvfln_rM9Pprouet3bH9_zpo.rep,벌쳐너무약해요,,1314,3213,5874,6615,-1,2057,-1,-1,-1,-1,2482,-1,4454,4472,5547,6502,-1,-1,-1,-1,-1,-1
1sG0xU9wDb5WfSKR8T2YTRBgcFsAf_uLhSJFlRdMy_k.rep,PRobal,,1384,3593,5656,5670,5689,2082,-1,-1,-1,-1,2310,-1,3670,4512,5162,-1,-1,-1,-1,-1,-1,-1
1sG0xU9wDb5WfSKR8T2YTRBgcFsAf_uLhSJFlRdMy_k.rep,Amara,,1359,1368,3407,3414,4201,2130,2139,-1,-1,-1,2533,-1,3838,4921,4932,-1,-1,-1,-1,-1,-1,-1
2JnC6qM__fd5_FfHiQXfPISv38k_87rG0IARKzacMGc.rep,EastHampton,,1413,3564,5756,-1,-1,2201,-1,-1,-1,-1,2500,-1,3812,6851,-1,-1,-1,-1,-1,-1,-1,-1
4JcGqEDC5bvaGFdnAJ7TUa8LMr-OUWVHLnNBq0YlQjo.rep,Yume.Dream,,1390,4288,5514,-1,-1,2013,5194,-1,-1,-1,5005,-1,-1,-1,-1,-1,-1,-1,-1,-1,3716,-1
5FbT_OsMVQ8TBdAkMyj5blQ0cJvCgbQ4XIR92sd4chU.rep,discovision,,1327,2676,5658,-1,-1,2025,-1,-1,-1,-1,2448,-1,3828,4818,6505,-1,-1,-1,-1,-1,-1,-1
5FbT_OsMVQ8TBdAkMyj5blQ0cJvCgbQ4XIR92sd4chU.rep,EastHampton,,1429,3391,4729,5782,-1,2111,-1,-1,-1,-1,2515,-1,4193,5517,6764,-1,-1,-1,-1,-1,-1,-1
5lMlbMUOZcv67XY3wJpjvssFlkh8po2EZbTWY2Oz1SM.rep,discovision,,1343,3251,5985,6925,-1,2050,-1,-1,-1,-1,2475,-1,4078,4188,4789,5389,-1,-1,-1,-1,-1,-1
5lMlbMUOZcv67XY3wJpjvssFlkh8po2EZbTWY2Oz1SM.rep,EastHampton,,1417,3457,5224,7094,7141,2108,-1,-1,-1,-1,2513,-1,3712,4607,6044,-1,-1,-1,-1,-1,-1,-1
6ZZQiwP2ZVq3TSXjOmFX_uHGNw8Sr-OKO4iIN6vk_xg.rep,allan2847,,1406,3695,3702,5076,-1,2091,6333,6342,-1,-1,2856,-1,4450,4454,4459,-1,-1,-1,-1,-1,-1,-1
7B40x7UTndcKNSGrUg46-kwhBTF8bQDqH4ys8K7m99I.rep,discovision,,1360,3045,-1,-1,-1,2040,-1,-1,-1,-1,2498,-1,4156,4724,5364,-1,-1,-1,-1,-1,-1,-1
7B40x7UTndcKNSGrUg46-kwhBTF8bQDqH4ys8K7m99I.rep,EastHampton,,1496,4005,4222,4484,-1,2188,-1,-1,-1,-1,4120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7UFkePak699zTjpovX775WM1RcaW4iXV6qdfoabZE7Q.rep,벌쳐너무약해요,,1347,3338,5856,5878,-1,2071,-1,-1,-1,-1,2622,-1,3939,4739,4764,5594,-1,-1,-1,-1,-1,-1
7UFkePak699zTjpovX775WM1RcaW4iXV6qdfoabZE7Q.rep,다크아칸,,1085,3870,4814,-1,-1,1779,3190,-1,-1,-1,4879,-1,6417,-1,-1,-1,-1,-1,-1,-1,6500,-1
85X_frQTRWejyKFBL1QcAJwmTuB5JN2GaEYVt49SZks.rep,또란,,1276,3122,5566,6730,-1,1975,-1,-1,-1,-1,2719,-1,4259,4274,4708,4761,5244,-1,-1,-1,-1,-1
85X_frQTRWejyKFBL1QcAJwmTuB5JN2GaEYVt49SZks.rep,비두로기,,1228,3542,3588,4785,6890,2114,-1,-1,-1,-1,2498,-1,4127,6014,-1,-1,-1,-1,-1,-1,5496,-1
8_rP7-al61yTq0bLUre_v5jQKHzqNpHUZdah3aU1ohA.rep,discovision,,1465,2885,3107,4775,6066,2147,2739,-1,-1,-1,4389,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9KCOXhhQ3At1m95D5Aff7bYhRF0zn3Z6E9OXUOcgAcM.rep,discovision,,1354,2984,5195,6577,-1,2072,-1,-1,-1,-1,2521,-1,3920,4772,4802,5780,-1,-1,-1,-1,-1,-1
9KCOXhhQ3At1m95D5Aff7bYhRF0zn3Z6E9OXUOcgAcM.rep,EastHampton,,1431,3450,4512,6987,7066,2096,-1,-1,-1,-1,2494,-1,3683,4940,5049,5900,-1,-1,-1,-1,-1,-1
9kvJ8ACFYpOKq9Tz9F3BVUxhfJtIo0O1wbDi4tEMoas.rep,EastHampton,,1400,3612,5665,6939,6983,2045,-1,-1,-1,-1,2479,-1,3942,5010,6457,-1,-1,-1,-1,-1,-1,-1
9kvJ8ACFYpOKq9Tz9F3BVUxhfJtIo0O1wbDi4tEMoas.rep,iCe,,1339,3358,6221,-1,-1,2030,-1,-1,-1,-1,2421,-1,3610,4673,5326,-1,-1,-1,-1,-1,-1,-1
AwwpJ5WoagluYnRGH9PUjlvn01WSpQf9qYu8uhoKCk8.rep,discovision,,1368,3282,5405,6600,-1,2072,-1,-1,-1,-1,2526,-1,4683,5217,7141,-1,-1,-1,-1,-1,-1,-1
BopJ4Xur6em9KNXCTpmNOhoVsLZU8wPfDozbL69LSTE.rep,내일은금요이이일,,1452,4471,-1,-1,-1,2125,4592,5105,5118,5560,5168,-1,7044,-1,-1,-1,-1,-1,-1,-1,3722,3827
bRmrYAM5Vsn93T2AXX8mUEbP1G1H2nlDyERPw7HLiRk.rep,hold,,1407,2993,4845,6847,-1,2100,2817,6475,6492,-1,3576,-1,6519,-1,-1,-1,-1,-1,-1,-1,-1,-1
CfsMzDE4pGDy5bWWY14ydRMbtyGJUst-HIHuWvZoYIY.rep,mustangas,,1733,3597,5179,6246,-1,2410,-1,-1,-1,-1,2500,-1,3764,-1,-1,-1,-1,-1,-1,-1,-1,-1
CfsMzDE4pGDy5bWWY14ydRMbtyGJUst-HIHuWvZoYIY.rep,Gandalfin,,1566,3511,3996,6682,-1,2212,-1,-1,-1,-1,2335,-1,3551,3712,4957,6167,-1,-1,-1,-1,-1,-1
dnXQicAQStsmI0NvUlr_G_peeHtPUtLkZpF7-jSAKxQ.rep,RayPugh,,1336,3124,4767,5928,-1,2064,2586,-1,-1,-1,3778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eA6UQhEniZUVXJmWIKYjgBW3pGuQD4QXXYDZqb5Ya5M.rep,RayPugh,,1342,2915,4772,5764,-1,2026,-1,-1,-1,-1,2429,-1,3659,4324,7026,-1,-1,-1,-1,-1,-1,-1
EHwiGjLLEsXUcTsqwa8ql0OEuDTr67c0FhkEWWhEO8g.rep,EastHampton,,1460,3875,4831,5777,-1,2111,-1,-1,-1,-1,2564,-1,4071,4923,6648,-1,-1,-1,-1,-1,-1,-1
