eplay,player,build,Spawning Pool,Extractor,Hatchery 1,Hatchery 2,Lair,Spire,Metabolic Boost (Zergling Speed)
-8hrEbfZnuvzzijadB5dCPslUDkR_Xg1tW41Ne--azc.rep,ProGamerMatt,12 Pool,2179,2321,3090,3103,4292,5940,6650
-8hrEbfZnuvzzijadB5dCPslUDkR_Xg1tW41Ne--azc.rep,mangochaz,12 Hatch,2775,3004,2360,-1,12008,13685,4756
5lMlbMUOZcv67XY3wJpjvssFlkh8po2EZbTWY2Oz1SM.rep,ProGamerMatt,11 Pool,2069,2302,3302,-1,3806,5456,4348
5lMlbMUOZcv67XY3wJpjvssFlkh8po2EZbTWY2Oz1SM.rep,mangochaz,11 Hatch,2737,3004,2319,13216,4316,5857,9206
6FAr23aL3aaD9dJfA2bbk5Qyk_a_BVZ8plW7gHYAex8.rep,mangochaz,Overpool,1770,1907,-1,-1,3398,-1,3906
6FAr23aL3aaD9dJfA2bbk5Qyk_a_BVZ8plW7gHYAex8.rep,testie123,11 Hatch,2765,-1,2301,3901,-1,-1,-1
6FAr23aL3aaD9dJfA2bbk5Qyk_a_BVZ8plW7gHYAex8.rep,limebean,Overpool,1850,1983,3014,-1,-1,-1,-1
6ZZQiwP2ZVq3TSXjOmFX_uHGNw8Sr-OKO4iIN6vk_xg.rep,ProGamerMatt,11 Hatch,2812,3355,2528,4398,4758,6473,-1
6ZZQiwP2ZVq3TSXjOmFX_uHGNw8Sr-OKO4iIN6vk_xg.rep,mangochaz,Overpool,1766,1936,4753,4782,3244,5350,-1
9kvJ8ACFYpOKq9Tz9F3BVUxhfJtIo0O1wbDi4tEMoas.rep,ProGamerMatt,Overpool,1829,3353,2933,-1,-1,-1,4690
9kvJ8ACFYpOKq9Tz9F3BVUxhfJtIo0O1wbDi4tEMoas.rep,mangochaz,11 Pool,2045,2341,3508,4052,3556,5275,-1
AwwpJ5WoagluYnRGH9PUjlvn01WSpQf9qYu8uhoKCk8.rep,ProGamerMatt,12 Pool,2220,2380,3035,15014,6612,8849,13241
