file,player,build,Spawning Pool,Extractor,Hatchery 1,Hatchery 2,Lair,Spire,Metabolic Boost (Zergling Speed)
kQVDSyN-b9thHOUTiBYvpPxuBB2n73oYXZIcv2Vr4RY.rep,TopChop1,Overpool,1838,2212,4194,5377,10672,-1,3471
kQVDSyN-b9thHOUTiBYvpPxuBB2n73oYXZIcv2Vr4RY.rep,Gandalfin,12 Hatch,2959,3993,2480,3857,-1,-1,-1
kRs_tjbVCMbpr0nsT_XQI0CzTYS3g6Bn3HPoMhxOh_U.rep,TomasPlay,Overpool,1804,2971,2862,-1,-1,-1,4270
kRs_tjbVCMbpr0nsT_XQI0CzTYS3g6Bn3HPoMhxOh_U.rep,Gandalfin,Overpool,1834,1932,5519,-1,3249,4875,-1
lyo7XWtD1owfSyAWRBUR9fi0ZZjLEGvFUjT0LtXuxns.rep,TomasPlay,Overpool,1929,2058,-1,-1,3460,5014,3777
lyo7XWtD1owfSyAWRBUR9fi0ZZjLEGvFUjT0LtXuxns.rep,bsmurf,12 Pool,2197,3106,2932,-1,-1,-1,4560
MclK_wrs-9L5IY7tKID_l4SXBXAbStQ9FU4g_uN9VlM.rep,Polarity[BGN],Overpool,1925,3699,3377,5336,7365,15967,6923
MclK_wrs-9L5IY7tKID_l4SXBXAbStQ9FU4g_uN9VlM.rep,nOm.KilahAce,Overpool,1809,4594,3058,4267,5947,7765,6644
mlacZ7oxJfpebkEXrUaCv6xBU30VeN9h2uB-aIQZX_o.rep,ETA,,1885,3464,3095,5027,4968,8023,16468
mlacZ7oxJfpebkEXrUaCv6xBU30VeN9h2uB-aIQZX_o.rep,킹갓제네럴썬더라,,2767,3768,2131,11660,6740,9011,20564
nO2PgP5bdAaZYihnmaoqaAY8egDuUsTdRmCkn6d-kNU.rep,MX MASTER 3S,,1386,4843,5482,14566,7867,9400,14830
NS7pyKOOlN1bCNz3x7tESYLHLw9FHHyZAPPq1FAgL6k.rep,행복스타맨,,1336,4582,3760,-1,-1,-1,7998
Oa-DQddEpvLFBPkrZfoLRNbOif5VyI8-a1risZCNlYU.rep,행복스타맨,,2794,1589,2342,5973,8893,10522,10811
